Time Steps used : 2000

StockPrice , OptionPrice, IntrinsicValue
50 , 50 , 50
51 , 49 , 49
52 , 48 , 48
53 , 47 , 47
54 , 46 , 46
55 , 45 , 45
56 , 44 , 44
57 , 43 , 43
58 , 42 , 42
59 , 41 , 41
60 , 40 , 40
61 , 39 , 39
62 , 38 , 38
63 , 37 , 37
64 , 36 , 36
65 , 35 , 35
66 , 34 , 34
67 , 33 , 33
68 , 32 , 32
69 , 31 , 31
70 , 30 , 30
71 , 29 , 29
72 , 28 , 28
73 , 27 , 27
74 , 26 , 26
75 , 25 , 25
76 , 24 , 24
77 , 23 , 23
78 , 22 , 22
79 , 21 , 21
80 , 20 , 20
81 , 19 , 19
82 , 18.0239 , 18
83 , 17.0848 , 17
84 , 16.1825 , 16
85 , 15.3157 , 15
86 , 14.484 , 14
87 , 13.6869 , 13
88 , 12.923 , 12
89 , 12.1915 , 11
90 , 11.4928 , 10
91 , 10.8254 , 9
92 , 10.1881 , 8
93 , 9.58019 , 7
94 , 9.00141 , 6
95 , 8.45136 , 5
96 , 7.92836 , 4
97 , 7.43155 , 3
98 , 6.9601 , 2
99 , 6.51319 , 1
100 , 6.08999 , 0
101 , 5.69065 , 0
102 , 5.31339 , 0
103 , 4.95728 , 0
104 , 4.62148 , 0
105 , 4.30515 , 0
106 , 4.00748 , 0
107 , 3.72763 , 0
108 , 3.46482 , 0
109 , 3.21824 , 0
110 , 2.98711 , 0
111 , 2.77068 , 0
112 , 2.5682 , 0
113 , 2.37893 , 0
114 , 2.20218 , 0
115 , 2.03724 , 0
116 , 1.88346 , 0
117 , 1.7402 , 0
118 , 1.60684 , 0
119 , 1.48278 , 0
120 , 1.36746 , 0
121 , 1.26033 , 0
122 , 1.16089 , 0
123 , 1.06863 , 0
124 , 0.983109 , 0
125 , 0.904177 , 0
126 , 0.831326 , 0
127 , 0.763906 , 0
128 , 0.701543 , 0
129 , 0.643885 , 0
130 , 0.5906 , 0
131 , 0.541385 , 0
132 , 0.495957 , 0
133 , 0.454471 , 0
134 , 0.416303 , 0
135 , 0.381093 , 0
136 , 0.348623 , 0
137 , 0.318694 , 0
138 , 0.291138 , 0
139 , 0.266213 , 0
140 , 0.243255 , 0
141 , 0.222103 , 0
142 , 0.202624 , 0
143 , 0.184738 , 0
144 , 0.168644 , 0
145 , 0.153814 , 0
146 , 0.140155 , 0
147 , 0.127588 , 0
148 , 0.116275 , 0
149 , 0.105937 , 0
150 , 0.0964115 , 0
